1780073977538,1
1780073977560,1
1780073977560,1
1780073978537,1
1780073979537,1
1780073979560,1
1780073980538,2
1780073980560,0
1780073981538,1
1780073981560,1
1780073982540,1
1780073983582,1
1780073983601,1
1780073983602,1
1780073984582,0
1780073985583,1
1780073985600,0
1780073986584,0
1780073986602,1
1780073987586,1
1780073987601,0
1780073988587,1
1780073989588,1
1780073989601,0
1780073989602,1
1780073990589,1
1780073991589,0
1780073991601,0
1780073992589,0
1780073992601,0
1780073993590,1
1780073993601,0
1780073994591,1
1780073995592,1
1780073995602,1
1780073995602,1
1780073996592,1
1780073997592,1
1780073997602,1
1780073998593,1
1780073998603,1
1780073999594,0
1780073999602,0
1780074000595,0
1780074001596,0
1780074001603,1
1780074001603,1
1780074002597,0
1780074003598,1
1780074003603,1
1780074004599,1
1780074004603,1
1780074005599,0
1780074005603,1
1780074006599,0
1780074007600,1
1780074007603,1
1780074007603,1
1780074008601,0
1780074009603,1
1780074009603,1
1780074010604,1
1780074010604,1
1780074011604,1
1780074011604,1
1780074012604,0
1780074013636,1
1780074013636,1
1780074013636,1
1780074014636,0
1780074015637,1
1780074015638,1
1780074016638,1
1780074016638,1
1780074017638,1
1780074017638,1
1780074018638,0
1780074019638,1
1780074019638,1
1780074019638,1
1780074020639,1
1780074021638,0
1780074021639,1
1780074022638,1
1780074022639,1
1780074023639,0
1780074023639,0
1780074024640,0
1780074025639,1
1780074025640,0
1780074025641,1
1780074026641,0
1780074027641,1
1780074027641,0
1780074028639,0
1780074028642,1
1780074029641,0
1780074029642,1
1780074030642,0
1780074031640,0
1780074031641,0
1780074031642,0
1780074032643,0
1780074033643,1
1780074033643,1
1780074034642,1
1780074034643,1
1780074035645,3
1780074035645,2
1780074036643,0
1780074037642,1
1780074037643,1
1780074037644,1
1780074038644,0
1780074039644,1
1780074039645,1
1780074040642,1
1780074040644,0
1780074041644,0
1780074041645,1
1780074042645,1
1780074043682,1
1780074043684,0
1780074043685,1
1780074044685,0
1780074045685,1
1780074045685,1
1780074046683,0
1780074046685,1
1780074047688,1
1780074047689,1
1780074048689,0
1780074049684,1
1780074049688,1
1780074049689,0
1780074050692,1
1780074051690,1
1780074051692,0
1780074052684,0
1780074052692,0
1780074053690,1
1780074053692,0
1780074054693,1
1780074055684,0
1780074055690,1
1780074055693,0
1780074056694,0
1780074057690,0
1780074057694,0
1780074058685,0
1780074058695,1
1780074059690,1
1780074059695,1
1780074060696,1
1780074061686,1
1780074061690,1
1780074061696,1
1780074062696,1
1780074063691,1
1780074063696,0
1780074064686,1
1780074064696,1
1780074065692,1
1780074065696,0
1780074066697,1
1780074067686,1
1780074067692,1
1780074067696,0
1780074068697,1
1780074069693,1
1780074069698,1
1780074070686,0
1780074070697,1
1780074071693,0
1780074071697,1
1780074072697,1
1780074073721,1
1780074073727,0
1780074073731,0
1780074074732,0
1780074075728,1
1780074075732,0
1780074076721,0
1780074076732,1
1780074077729,0
1780074077732,1
1780074078733,0
1780074079722,0
1780074079729,1
1780074079733,1
1780074080734,1
1780074081730,1
1780074081734,0
1780074082722,0
1780074082734,1
1780074083730,0
1780074083734,0
1780074084734,0
