1780073978711,173,65
1780073979712,175,65
1780073979928,368,126
1780073980711,173,65
1780073980933,373,131
1780073981712,174,65
1780073981930,370,126
1780073982713,173,65
1780073983774,192,65
1780073983992,391,126
1780073983992,389,131
1780073984760,178,65
1780073985762,179,65
1780073985997,396,126
1780073986967,383,65
1780073986967,365,131
1780073987979,393,65
1780073987979,378,126
1780073988761,174,65
1780073989768,180,65
1780073989991,390,131
1780073989991,389,126
1780073990796,207,65
1780073991819,229,65
1780073992106,505,126
1780073992782,193,65
1780073993011,410,131
1780073993770,180,65
1780073993986,385,126
1780073994767,176,65
1780073995779,187,65
1780073995993,391,131
1780073995993,391,126
1780073996769,177,65
1780073997769,177,65
1780073997991,389,126
1780073998769,176,65
1780073998991,388,131
1780073999768,174,65
1780073999986,384,126
1780074000798,203,65
1780074001769,173,65
1780074001984,381,131
1780074001984,380,126
1780074002776,179,65
1780074003772,174,65
1780074003991,388,126
1780074004775,176,65
1780074004997,394,131
1780074005774,175,65
1780074005988,385,126
1780074006773,174,65
1780074007775,175,65
1780074007995,392,131
1780074007995,392,126
1780074008776,175,65
1780074009788,185,65
1780074010001,398,126
1780074010778,174,131
1780074010988,384,65
1780074011778,174,126
1780074011999,395,65
1780074012783,179,65
1780074013812,176,131
1780074014032,396,126
1780074014033,396,65
1780074014812,176,65
1780074015952,315,126
1780074015952,314,65
1780074016964,326,131
1780074016964,326,65
1780074017964,326,126
1780074017964,326,65
1780074018813,175,65
1780074019812,174,131
1780074020026,388,126
1780074020026,388,65
1780074020814,175,65
1780074021817,179,126
1780074022040,401,65
1780074022819,181,131
1780074023030,391,65
1780074023821,182,126
1780074024036,397,65
1780074024814,174,65
1780074025816,177,131
1780074026032,392,126
1780074026032,391,65
1780074026822,181,65
1780074027815,174,126
1780074028042,401,65
1780074028813,174,131
1780074029032,390,65
1780074029817,176,126
1780074030040,398,65
1780074030820,178,65
1780074031832,192,131
1780074032054,413,126
1780074032054,411,65
1780074032821,178,65
1780074033820,177,126
1780074034238,595,65
1780074034840,198,131
1780074035065,422,65
1780074035830,185,126
1780074036069,424,65
1780074036840,197,65
1780074037822,180,131
1780074038054,411,126
1780074038054,410,65
1780074038846,202,65
1780074039823,179,126
1780074040048,403,65
1780074040832,190,131
1780074041057,413,65
1780074042060,415,126
1780074042278,633,65
1780074042825,180,65
1780074043873,191,131
1780074044095,411,126
1780074044095,410,65
1780074044866,181,65
1780074045956,271,126
1780074045956,271,65
1780074046957,274,131
1780074046957,272,65
1780074047977,289,126
1780074047977,288,65
1780074048876,187,65
1780074049861,177,131
1780074050101,413,126
1780074050101,412,65
1780074050875,183,65
1780074051864,174,126
1780074052101,409,65
1780074052866,182,131
1780074053093,401,65
1780074053866,176,126
1780074054081,389,65
1780074054871,178,65
1780074055859,174,131
1780074056078,388,126
1780074056079,386,65
1780074057410,716,65
1780074057898,208,126
1780074058232,537,65
1780074058929,244,131
1780074059183,488,65
1780074059935,245,126
1780074060288,593,65
1780074060878,182,65
1780074061860,173,131
1780074062071,381,126
1780074062071,375,65
1780074062874,178,65
1780074063873,182,126
1780074064096,400,65
1780074064869,183,131
1780074065091,395,65
1780074065870,178,126
1780074066104,408,65
1780074066876,179,65
1780074067865,179,131
1780074068092,400,126
1780074068092,396,65
1780074068886,189,65
1780074069866,173,126
1780074070089,391,65
1780074070861,175,131
1780074071082,385,65
1780074071869,176,126
1780074072094,397,65
1780074072877,180,65
1780074073900,179,131
1780074074117,390,126
1780074074118,387,65
1780074074913,181,65
1780074076673,945,126
1780074076673,941,65
1780074076964,243,131
1780074076964,232,65
1780074077962,233,126
1780074077963,231,65
1780074078915,182,65
1780074079902,180,131
1780074080127,398,126
1780074080127,394,65
1780074080909,175,65
1780074081907,177,126
1780074082128,394,65
1780074082898,176,131
1780074083118,384,65
1780074083909,179,126
1780074084129,395,65
1780074084910,176,65
1780074085897,175,131
1780074086118,388,126
1780074086118,384,65
1780074086910,175,65
1780074087905,174,126
1780074088134,399,65
1780074088901,178,131
1780074089125,390,65
1780074089909,177,126
1780074090125,390,65
1780074090914,178,65
1780074091898,174,131
1780074092113,381,126
1780074092113,377,65
1780074092911,175,65
1780074093909,176,126
1780074094131,395,65
1780074094899,175,131
1780074095119,383,65
1780074096196,462,126
1780074096335,599,65
1780074096918,181,65
1780074097899,175,131
1780074098123,389,126
1780074098124,387,65
1780074098913,176,65
1780074099914,179,126
1780074100134,397,65
1780074100897,173,131
1780074101110,373,65
1780074101912,176,126
1780074102136,399,65
1780074102922,185,65
1780074103935,179,131
1780074104150,382,126
1780074104150,382,65
1780074105031,261,65
1780074106225,456,126
1780074107854,2084,65
1780074108181,1422,131
1780074108182,1411,65
1780074108182,409,126
1780074108182,408,65
1780074108951,178,65
1780074109937,178,131
1780074110151,376,126
1780074110152,376,65
1780074110952,177,65
1780074111954,179,126
1780074112175,399,65
1780074112932,173,131
1780074113152,376,65
1780074113950,174,126
1780074114172,396,65
1780074114951,175,65
1780074115933,174,131
1780074116148,372,126
1780074116149,373,65
1780074116951,174,65
1780074117950,173,126
1780074118167,390,65
1780074118938,178,131
1780074119157,380,65
1780074119981,202,126
1780074120196,416,65
1780074120960,180,65
1780074121937,176,131
1780074122152,373,126
1780074122152,372,65
1780074122979,199,65
1780074123963,184,126
1780074124182,402,65
1780074124936,175,131
1780074125156,376,65
1780074125955,174,126
1780074126176,395,65
1780074126957,175,65
1780074127936,174,131
1780074128160,380,126
1780074128160,378,65
1780074128959,177,65
1780074129958,176,126
1780074130179,397,65
1780074130936,174,131
1780074131152,368,65
1780074131957,175,126
1780074132171,388,65
1780074132958,174,65
1780074133972,176,131
1780074134200,385,126
1780074134200,383,65
1780074134992,174,65
1780074135992,177,126
1780074136641,824,65
1780074136971,174,131
1780074137866,1049,65
1780074138113,297,126
1780074138113,296,65
1780074138996,178,65
1780074139977,180,131
1780074140192,376,126
1780074140192,374,65
1780074140993,174,65
1780074141992,175,126
1780074142212,394,65
1780074142975,178,131
1780074143191,371,65
1780074143993,175,126
1780074144215,395,65
1780074144995,175,65
1780074145972,174,131
1780074146198,379,126
1780074146198,378,65
1780074146995,174,65
1780074147994,174,126
1780074148214,393,65
1780074148973,174,131
1780074149188,367,65
1780074150093,272,126
1780074150345,524,65
1780074151003,180,65
1780074151975,175,131
1780074152198,377,126
1780074152198,376,65
1780074153050,227,65
1780074154038,216,126
1780074154280,457,65
1780074154975,174,131
1780074155242,418,65
1780074156011,188,126
1780074156222,398,65
1780074156999,175,65
1780074157977,176,131
1780074158187,365,126
1780074158187,364,65
1780074159010,186,65
1780074159998,175,126
1780074160221,397,65
1780074160976,175,131
1780074161192,368,65
1780074161996,173,126
1780074162214,390,65
1780074162999,175,65
1780074164018,181,131
1780074164237,378,126
1780074164238,379,65
1780074165036,176,65
1780074166034,175,126
1780074166726,866,65
1780074167014,177,131
1780074167879,1018,65
1780074168250,389,126
1780074168250,389,65
1780074169051,190,65
1780074170037,200,131
1780074170259,398,126
1780074170259,398,65
1780074171040,178,65
1780074172112,250,126
1780074172403,540,65
1780074173208,369,131
1780074173474,610,65
