Timestamp,CPU_Perc,Mem_Usage
1780074303000,0.50%,63.66MiB / 7.563GiB
1780074305000,0.60%,64.02MiB / 7.563GiB
1780074307000,0.35%,64.02MiB / 7.563GiB
1780074310000,0.47%,64.1MiB / 7.563GiB
1780074312000,0.32%,64MiB / 7.563GiB
1780074314000,0.24%,64.03MiB / 7.563GiB
1780074316000,0.53%,64.8MiB / 7.563GiB
1780074319000,0.74%,64.31MiB / 7.563GiB
1780074322000,0.59%,64.56MiB / 7.563GiB
1780074324000,0.93%,63.71MiB / 7.563GiB
1780074326000,0.92%,64.03MiB / 7.563GiB
1780074328000,0.95%,63.96MiB / 7.563GiB
1780074331000,1.08%,64.11MiB / 7.563GiB
1780074333000,0.38%,64.82MiB / 7.563GiB
1780074335000,1.07%,64.32MiB / 7.563GiB
1780074337000,1.19%,65.07MiB / 7.563GiB
1780074340000,0.85%,64.12MiB / 7.563GiB
1780074342000,0.25%,64.3MiB / 7.563GiB
1780074344000,0.38%,64.85MiB / 7.563GiB
1780074346000,0.55%,65.24MiB / 7.563GiB
1780074348000,0.77%,65.68MiB / 7.563GiB
1780074351000,0.61%,64.96MiB / 7.563GiB
1780074353000,0.45%,64.97MiB / 7.563GiB
1780074355000,1.30%,64.58MiB / 7.563GiB
1780074357000,0.52%,64.5MiB / 7.563GiB
1780074360000,0.21%,65.18MiB / 7.563GiB
1780074362000,0.56%,64.52MiB / 7.563GiB
1780074364000,0.37%,64.68MiB / 7.563GiB
1780074366000,0.25%,65MiB / 7.563GiB
1780074368000,0.50%,64.54MiB / 7.563GiB
1780074371000,0.43%,64.86MiB / 7.563GiB
1780074373000,0.71%,64.48MiB / 7.563GiB
1780074375000,0.43%,64.7MiB / 7.563GiB
1780074377000,0.33%,64.4MiB / 7.563GiB
1780074380000,0.25%,64.94MiB / 7.563GiB
1780074383000,1.03%,65.27MiB / 7.563GiB
1780074385000,0.35%,64.46MiB / 7.563GiB
1780074387000,0.83%,64.94MiB / 7.563GiB
1780074390000,0.50%,65.4MiB / 7.563GiB
1780074392000,2.06%,64.82MiB / 7.563GiB
1780074394000,0.63%,65.23MiB / 7.563GiB
1780074396000,0.31%,65.25MiB / 7.563GiB
1780074398000,0.50%,65.18MiB / 7.563GiB
1780074401000,0.63%,64.67MiB / 7.563GiB
1780074403000,0.49%,65.17MiB / 7.563GiB
1780074405000,0.34%,65.37MiB / 7.563GiB
1780074407000,0.36%,65.36MiB / 7.563GiB
1780074410000,0.54%,65.69MiB / 7.563GiB
1780074412000,1.27%,65.91MiB / 7.563GiB
1780074414000,0.56%,66.41MiB / 7.563GiB
1780074416000,0.43%,66.6MiB / 7.563GiB
1780074418000,0.51%,65.73MiB / 7.563GiB
1780074421000,0.75%,65.98MiB / 7.563GiB
1780074423000,0.50%,65.59MiB / 7.563GiB
1780074425000,0.48%,65.87MiB / 7.563GiB
1780074427000,0.26%,65.22MiB / 7.563GiB
1780074430000,1.10%,65.83MiB / 7.563GiB
1780074432000,0.23%,65.6MiB / 7.563GiB
1780074434000,0.50%,65.56MiB / 7.563GiB
1780074436000,0.46%,65.55MiB / 7.563GiB
1780074439000,0.77%,65.27MiB / 7.563GiB
1780074441000,0.67%,65.32MiB / 7.563GiB
1780074444000,0.45%,65.64MiB / 7.563GiB
1780074446000,0.71%,65.33MiB / 7.563GiB
1780074448000,0.46%,65.47MiB / 7.563GiB
1780074451000,0.24%,65.71MiB / 7.563GiB
1780074453000,0.23%,65.34MiB / 7.563GiB
1780074455000,0.49%,65.66MiB / 7.563GiB
1780074457000,8.92%,65.4MiB / 7.563GiB
1780074460000,0.72%,65.93MiB / 7.563GiB
1780074462000,0.40%,65.95MiB / 7.563GiB
1780074464000,0.50%,65.75MiB / 7.563GiB
1780074466000,0.33%,66.01MiB / 7.563GiB
